==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0045661   regulation of myoblast differentiation                    5     106     11.9  8.1e-05    2.5e-04
GO:0044706   multi-multicellular organism process                      7     254      6.9  8.3e-05    2.5e-04
GO:0007623   circadian rhythm                                          6     174      8.7  8.3e-05    2.5e-04
GO:0032350   regulation of hormone metabolic process                   4      54     18.6  8.4e-05    2.5e-04
GO:2000243   positive regulation of reproductive process               5     107     11.8  8.5e-05    2.6e-04
GO:0001816   cytokine production                                       3      19     39.7  8.8e-05    2.7e-04
GO:0060038   cardiac muscle cell proliferation                         3      19     39.7  8.8e-05    2.7e-04
GO:0046638   positive regulation of alpha-beta T cell differentiati    4      55     18.3  8.9e-05    2.7e-04
GO:0071548   response to dexamethasone                                 4      55     18.3  8.9e-05    2.7e-04
GO:0002822   regulation of adaptive immune response based on somati    7     258      6.8  9.1e-05    2.8e-04
GO:0002824   positive regulation of adaptive immune response based     6     178      8.5  9.4e-05    2.8e-04
GO:0002706   regulation of lymphocyte mediated immunity                7     260      6.8  9.6e-05    2.9e-04
GO:0051047   positive regulation of secretion                          9     454      5.0  9.6e-05    2.9e-04
GO:0034332   adherens junction organization                            4      57     17.7  1.0e-04    3.0e-04
GO:0042307   positive regulation of protein import into nucleus        4      57     17.7  1.0e-04    3.0e-04
GO:0045940   positive regulation of steroid metabolic process          4      57     17.7  1.0e-04    3.0e-04
GO:0008277   regulation of G protein-coupled receptor signaling pat    6     181      8.3  1.0e-04    3.1e-04
GO:0034284   response to monosaccharide                                6     181      8.3  1.0e-04    3.1e-04
GO:0055080   monoatomic cation homeostasis                            10     569      4.4  1.0e-04    3.1e-04
GO:0001843   neural tube closure                                       5     112     11.2  1.0e-04    3.1e-04
GO:0032526   response to retinoic acid                                 5     112     11.2  1.0e-04    3.1e-04
GO:1900180   regulation of protein localization to nucleus             6     182      8.3  1.1e-04    3.1e-04
GO:0002673   regulation of acute inflammatory response                 4      58     17.4  1.1e-04    3.2e-04
GO:0022602   ovulation cycle process                                   4      58     17.4  1.1e-04    3.2e-04
GO:0048713   regulation of oligodendrocyte differentiation             4      58     17.4  1.1e-04    3.2e-04
GO:0032755   positive regulation of interleukin-6 production           5     113     11.1  1.1e-04    3.2e-04
GO:0071322   cellular response to carbohydrate stimulus                5     114     11.0  1.1e-04    3.3e-04
GO:0021511   spinal cord patterning                                    3      21     35.9  1.1e-04    3.4e-04
GO:0021516   dorsal spinal cord development                            3      21     35.9  1.1e-04    3.4e-04
GO:0048143   astrocyte activation                                      3      21     35.9  1.1e-04    3.4e-04
GO:0070230   positive regulation of lymphocyte apoptotic process       3      21     35.9  1.1e-04    3.4e-04
GO:1902004   positive regulation of amyloid-beta formation             3      21     35.9  1.1e-04    3.4e-04
GO:1905809   negative regulation of synapse organization               3      21     35.9  1.1e-04    3.4e-04
GO:0034109   homotypic cell-cell adhesion                              4      59     17.1  1.2e-04    3.4e-04
GO:0051781   positive regulation of cell division                      4      59     17.1  1.2e-04    3.4e-04
GO:0002821   positive regulation of adaptive immune response           6     187      8.1  1.2e-04    3.6e-04
GO:0032642   regulation of chemokine production                        5     117     10.8  1.3e-04    3.7e-04
GO:0002819   regulation of adaptive immune response                    7     273      6.5  1.3e-04    3.8e-04
GO:0042593   glucose homeostasis                                       7     273      6.5  1.3e-04    3.8e-04
GO:0050801   monoatomic ion homeostasis                               10     585      4.3  1.3e-04    3.8e-04
GO:0032354   response to follicle-stimulating hormone                  3      22     34.3  1.3e-04    3.8e-04
GO:0051797   regulation of hair follicle development                   3      22     34.3  1.3e-04    3.8e-04
GO:0099054   presynapse assembly                                       3      22     34.3  1.3e-04    3.8e-04
GO:1903376   regulation of oxidative stress-induced neuron intrinsi    3      22     34.3  1.3e-04    3.8e-04
GO:0048678   response to axon injury                                   4      61     16.5  1.3e-04    3.8e-04
GO:0007613   memory                                                    6     190      7.9  1.3e-04    3.9e-04
GO:0009948   anterior/posterior axis specification                     4      62     16.2  1.4e-04    4.0e-04
GO:0071622   regulation of granulocyte chemotaxis                      4      62     16.2  1.4e-04    4.0e-04
GO:0033500   carbohydrate homeostasis                                  7     278      6.3  1.4e-04    4.2e-04
GO:0002693   positive regulation of cellular extravasation             3      23     32.8  1.5e-04    4.3e-04
GO:0002719   negative regulation of cytokine production involved in    3      23     32.8  1.5e-04    4.3e-04
GO:0003214   cardiac left ventricle morphogenesis                      3      23     32.8  1.5e-04    4.3e-04
GO:0034114   regulation of heterotypic cell-cell adhesion              3      23     32.8  1.5e-04    4.3e-04
GO:0043931   ossification involved in bone maturation                  3      23     32.8  1.5e-04    4.3e-04
GO:0048333   mesodermal cell differentiation                           3      23     32.8  1.5e-04    4.3e-04
GO:1900006   positive regulation of dendrite development               3      23     32.8  1.5e-04    4.3e-04
GO:0071300   cellular response to retinoic acid                        4      63     16.0  1.5e-04    4.3e-04
GO:0090102   cochlea development                                       4      63     16.0  1.5e-04    4.3e-04
GO:0060627   regulation of vesicle-mediated transport                  9     482      4.7  1.5e-04    4.3e-04
GO:0071230   cellular response to amino acid stimulus                  6     197      7.7  1.6e-04    4.6e-04
GO:0031952   regulation of protein autophosphorylation                 3      24     31.4  1.6e-04    4.7e-04
GO:0033630   positive regulation of cell adhesion mediated by integ    3      24     31.4  1.6e-04    4.7e-04
GO:0060438   trachea development                                       3      24     31.4  1.6e-04    4.7e-04
GO:2000353   positive regulation of endothelial cell apoptotic proc    3      24     31.4  1.6e-04    4.7e-04
GO:0033077   T cell differentiation in thymus                          4      65     15.5  1.6e-04    4.7e-04
GO:0045639   positive regulation of myeloid cell differentiation       5     124     10.1  1.7e-04    4.7e-04
GO:0031641   regulation of myelination                                 4      66     15.2  1.7e-04    4.9e-04
GO:0046634   regulation of alpha-beta T cell activation                5     126     10.0  1.8e-04    5.0e-04
GO:0045580   regulation of T cell differentiation                      6     202      7.5  1.8e-04    5.2e-04
GO:0043011   myeloid dendritic cell differentiation                    3      25     30.2  1.8e-04    5.2e-04
GO:0043567   regulation of insulin-like growth factor receptor sign    3      25     30.2  1.8e-04    5.2e-04
GO:0070977   bone maturation                                           3      25     30.2  1.8e-04    5.2e-04
GO:0071371   cellular response to gonadotropin stimulus                3      25     30.2  1.8e-04    5.2e-04
GO:1904892   regulation of receptor signaling pathway via STAT         5     127      9.9  1.8e-04    5.2e-04
GO:0030203   glycosaminoglycan metabolic process                       4      67     15.0  1.8e-04    5.2e-04
GO:0150076   neuroinflammatory response                                4      67     15.0  1.8e-04    5.2e-04
GO:0001754   eye photoreceptor cell differentiation                    4      68     14.8  1.9e-04    5.4e-04
GO:0060135   maternal process involved in female pregnancy             4      68     14.8  1.9e-04    5.4e-04
GO:0033555   multicellular organismal response to stress               5     129      9.8  2.0e-04    5.5e-04
GO:0032731   positive regulation of interleukin-1 beta production      4      69     14.6  2.1e-04    5.7e-04
GO:0031589   cell-substrate adhesion                                   6     207      7.3  2.1e-04    5.8e-04
GO:0002705   positive regulation of leukocyte mediated immunity        6     208      7.3  2.1e-04    6.0e-04
GO:0030534   adult behavior                                            6     209      7.2  2.2e-04    6.1e-04
GO:0001678   intracellular glucose homeostasis                         5     133      9.5  2.3e-04    6.3e-04
GO:1902993   positive regulation of amyloid precursor protein catab    3      27     28.0  2.3e-04    6.3e-04
GO:0008360   regulation of cell shape                                  5     134      9.4  2.3e-04    6.4e-04
GO:0030162   regulation of proteolysis                                 6     212      7.1  2.4e-04    6.5e-04
GO:0051055   negative regulation of lipid biosynthetic process         4      72     14.0  2.4e-04    6.6e-04
GO:0021549   cerebellum development                                    5     135      9.3  2.4e-04    6.6e-04
GO:0043255   regulation of carbohydrate biosynthetic process           5     135      9.3  2.4e-04    6.6e-04
